wk,treatment,egg_label,alive,egg_code,hh_Stage,embryo_area_mm2,eye_diameter_mm,bump_to_beak_length_mm,embryo_length_mm,pre_exp_egg_weight,post_exp_egg_weight,embryo_weight
1,0,1A,0,1-1A,n/a,n/a,n/a,n/a,n/a,n/a,57.67,n/a
1,0,1B,1,1-1B,29,143.374,5.335,11.31,27.179,n/a,54.06,0.81
1,0,1C,1,1-1C,29,154.968,5.287,11.873,26.491,n/a,51.63,0.91
1,0,1D,1,1-1D,30,120.004,4.595,10.135,23.468,n/a,60.08,0.82
1,48,2A,1,1-2A,30,119.195,4.063,9.887,24.819,n/a,50.47,0.64
1,48,2B,1,1-2B,30,134.437,4.595,11.206,24.739,n/a,48.89,0.57
1,48,2C,1,1-2C,29,162.93,5.375,10.267,29.976,n/a,57.04,0.49
1,48,2D,1,1-2D,29,131.186,4.637,9.428,26.424,n/a,55.43,0.41
1,168,3A,0,1-3A,n/a,n/a,n/a,n/a,n/a,n/a,52.33,n/a
1,168,3B,0,1-3B,n/a,n/a,n/a,n/a,n/a,n/a,50.96,n/a
1,168,3C,1,1-3C,28,123.596,4.499,10.459,23.573,n/a,55.68,0.77
1,168,3D,1,1-3D,29,149.771,5.523,11.355,26.108,n/a,54.15,0.94
2,0,1A,1,2-1A,29,133.915,4.389,10.646,22.478,62.39,60.85,0.63
2,0,1B,0,2-1B,n/a,n/a,n/a,n/a,n/a,56.51,54.93,n/a
2,0,1C,0,2-1C,n/a,n/a,n/a,n/a,n/a,59.99,58.65,n/a
2,0,1D,0,2-1D,n/a,n/a,n/a,n/a,n/a,57.77,56.06,n/a
2,48,2A,0,2-2A,n/a,n/a,n/a,n/a,n/a,53,51.66,n/a
2,48,2B,0,2-2B,n/a,n/a,n/a,n/a,n/a,54.76,53.43,n/a
2,48,2C,1,2-2C,29,133.975,4.903,11.165,22.246,61.88,60.4,0.75
2,48,2D,1,2-2D,29,120.61,4.82,10.181,20.208,62.97,61.44,0.71
2,168,3A,1,2-3A,28,83.259,3.412,8.647,23.794,54.07,52.93,0.38
2,168,3B,1,2-3B,29,114.598,4.208,10.114,23.334,51.23,50.15,0.55
2,168,3C,1,2-3C,29,121.291,4.01,10.465,21.684,64.83,63.66,0.54
2,168,3D,1,2-3D,29,119.207,4.08,10.098,21.705,60.46,59.35,0.5
